Anio,Mes,PaisDestino,DepartamentoOrigen,Producto,Cantidad,ValorMilesDolar,ValorMilesPesos
2018,Septiembre,Bahrein,Cundinamarca,Banano Bocadillo,246,1.67,5084.88
2018,Septiembre,Belgica,Antioquia,Banano Bocadillo,76.8,0.1,313.15
2018,Septiembre,Canada,Bogota,Platanos Secos,997,3.3,10131.5
2018,Septiembre,Espana,Bogota,Banano Bocadillo,814,2.31,7134.37
2018,Septiembre,Espana,Cundinamarca,Banano Bocadillo,1161,2.69,8205.19
2018,Septiembre,Estados Unidos,Bogota,Otros Bananos Secos,3,2.95,9108.8
2018,Septiembre,Francia,Bogota,Banano Bocadillo,2210,5.89,17982.99
2018,Septiembre,Francia,Cundinamarca,Banano Bocadillo,24135,65.42,196801.07
2018,Septiembre,Italia,Bogota,Otros Bananos y Platanos Frescos,162,0.42,1254.84
2018,Septiembre,Italia,Cundinamarca,Banano Bocadillo,288,0.73,2228.94
2018,Septiembre,Italia,Tolima,Banano Bocadillo,750,1.8,5447.12
2018,Septiembre,Portugal,Bogota,Banano Bocadillo,216,0.49,1471.4
2018,Septiembre,Suiza,Bogota,Banano Bocadillo,36,0.08,253.19
2018,Septiembre,Suiza,Bogota,Otros Bananos y Platanos Frescos,144,0.34,1013.89
2018,Septiembre,Suiza,Cundinamarca,Banano Bocadillo,1105,3.51,10606.54
2018,Septiembre,Alemania,Magdalena,Cavendish Valery,4631625,2000.8,6103385.06
2018,Septiembre,Aruba,Cundinamarca,Cavendish Valery,2300,4.25,12806.86
2018,Septiembre,Belgica,Magdalena,Cavendish Valery,1.57E+07,6724.56,2.05E+07
2018,Septiembre,Espana,Cundinamarca,Cavendish Valery,78364,32.41,97368.38
2018,Septiembre,Estados Unidos,Magdalena,Cavendish Valery,3.60E+07,15963.13,4.84E+07
2018,Septiembre,Japon,Magdalena,Cavendish Valery,243360,189.66,574910.49
2018,Septiembre,Paises Bajos,Magdalena,Cavendish Valery,5055919.24,2487.86,7544146.97
2018,Septiembre,Reino Unido,Magdalena,Cavendish Valery,1.37E+07,6206.69,1.89E+07
2018,Septiembre,Suiza,Magdalena,Cavendish Valery,2397532.8,1130.52,3426818.91
2018,Septiembre,Ucrania,Magdalena,Cavendish Valery,117546,51.19,153932.3
2018,Septiembre,Estados Unidos,Valle del Cauca,Otros Bananos Secos,4680,76.64,236765.86
2018,Septiembre,Alemania,Antioquia,Cavendish Valery,1058086,365.09,1114682.88
2017,Abril,Panama,Bogota,Platanos Secos,11.52,0.54,1533.83
2018,Septiembre,Belgica,Antioquia,Cavendish Valery,7982035,3629.3,1.10E+07
2018,Septiembre,Croacia,Antioquia,Cavendish Valery,166752,70.1,211461.75
2018,Septiembre,Espana,Antioquia,Cavendish Valery,604061.2,242.32,738450.63
2018,Septiembre,Estados Unidos,Antioquia,Cavendish Valery,1658079.6,812.26,2477486.17
2018,Septiembre,Estados Unidos,Antioquia,Banano Bocadillo,368568.8,198.82,603396.5
2018,Septiembre,Francia,Antioquia,Cavendish Valery,280886,96.01,291451.31
2018,Septiembre,Grecia,Antioquia,Cavendish Valery,957096,394.75,1194419
2018,Septiembre,Italia,Antioquia,Cavendish Valery,6807545.8,3067.85,9342100.79
2018,Septiembre,Malta,Antioquia,Cavendish Valery,20844,8,24433.67
2018,Septiembre,Marruecos,Antioquia,Cavendish Valery,60264,12.47,38084.87
2018,Septiembre,Paises Bajos,Antioquia,Cavendish Valery,4482528.2,2217.28,6701392.01
2018,Septiembre,Portugal,Antioquia,Cavendish Valery,591355.2,293.22,895241.71
2018,Septiembre,Reino Unido,Antioquia,Cavendish Valery,6185830,3008.74,9098450.03
2018,Septiembre,Ucrania,Antioquia,Cavendish Valery,250708.5,95.9,290161.98
2018,Septiembre,Belgica,Magdalena,Cavendish Valery,38838.8,16.08,48097.78
2018,Septiembre,Canada,Tolima,Otros Bananos Secos,546.86,5.96,18393.2
2018,Septiembre,Estados Unidos,Bogota,Cavendish Valery,14236.35,27.91,84265.06
2018,Septiembre,Francia,Tolima,Otros Bananos Secos,949.6,9.88,29696.26
2018,Septiembre,Paises Bajos,Bogota,Banano Bocadillo,216,0.5,1515.54
2018,Septiembre,Aruba,Bogota,Otros Bananos y Platanos Frescos,60,0.07,216.5
2018,Septiembre,Espana,Sucre,Cavendish Valery,19440,10.21,30903.48
2018,Septiembre,Estados Unidos,Antioquia,Banano Bocadillo,170720,138.06,426554.15
2018,Septiembre,Estados Unidos,Antioquia,Banano Bocadillo,241.2,0.56,1707.77
2018,Agosto,Alemania,Bogota,Platanos Secos,70,1.73,5188.26
2018,Agosto,Alemania,Cundinamarca,Banano Bocadillo,7738.8,40.34,119735.61
2018,Agosto,Belgica,Antioquia,Banano Bocadillo,70.4,0.19,569.62
2018,Agosto,Canada,Bogota,Banano Bocadillo,124,0.32,962.02
2018,Agosto,Espana,Bogota,Banano Bocadillo,1130,3.45,10195.65
2018,Agosto,Espana,Cundinamarca,Banano Bocadillo,1098,2.35,6968.77
2018,Agosto,Francia,Bogota,Banano Bocadillo,222849.98,616.34,1832058.84
2018,Agosto,Francia,Cundinamarca,Banano Bocadillo,12159.33,43.42,130703.16
2018,Agosto,Italia,Bogota,Banano Bocadillo,462,1.11,3308.58
2018,Agosto,Italia,Tolima,Banano Bocadillo,447,1.07,3244.17
2018,Agosto,Kuwait,Bogota,Banano Bocadillo,18,0.05,142.99
2018,Agosto,Malasia,Bogota,Banano Bocadillo,30,0.17,502.9
2018,Agosto,Paises Bajos,Bogota,Banano Bocadillo,40.54,0.12,353.71
2018,Agosto,Panama,Cundinamarca,Platanos Secos,15.84,1.11,3378.86
2018,Agosto,Portugal,Bogota,Banano Bocadillo,90,0.2,600.86
2018,Agosto,Portugal,Cundinamarca,Banano Bocadillo,144,0.32,969.66
2018,Agosto,Suiza,Cundinamarca,Banano Bocadillo,1080,3.6,10576.63
2018,Agosto,Alemania,Magdalena,Cavendish Valery,3117197,1422.21,4190070.35
2018,Agosto,Belgica,Magdalena,Cavendish Valery,1.77E+07,7939.29,2.35E+07
2018,Agosto,Estados Unidos,Magdalena,Cavendish Valery,4.24E+07,19158.07,5.72E+07
2018,Agosto,Italia,Magdalena,Cavendish Valery,335976,219.51,655495.72
2018,Agosto,Japon,Magdalena,Cavendish Valery,252720,196.88,581796.71
2018,Agosto,Paises Bajos,Magdalena,Cavendish Valery,5777806.6,2868.15,8480088.81
2018,Agosto,Reino Unido,Cesar,Cavendish Valery,517549,276.18,803388.85
2018,Agosto,Reino Unido,Magdalena,Cavendish Valery,1.36E+07,6479.96,1.92E+07
2018,Agosto,Suiza,Magdalena,Cavendish Valery,2015277.24,974.88,2904507.07
2018,Agosto,Ucrania,Magdalena,Cavendish Valery,235056,109.93,327763.59
2018,Agosto,Albania,Antioquia,Cavendish Valery,167427,76.42,228185.34
2018,Agosto,Alemania,Antioquia,Cavendish Valery,1.72E+07,8383.83,2.47E+07
2018,Agosto,Belgica,Antioquia,Cavendish Valery,1.89E+07,9242.82,2.73E+07
2018,Agosto,Corea,Antioquia,Cavendish Valery,19591.2,9.23,27700.46
2018,Agosto,Croacia,Antioquia,Cavendish Valery,83376,35.25,106613.61
2018,Agosto,Chile,Antioquia,Cavendish Valery,295374,95.87,283297.38
2018,Agosto,Espana,Antioquia,Cavendish Valery,931924.82,364.78,1092045.78
2018,Agosto,Eslovenia,Antioquia,Cavendish Valery,1.23E+07,6096.65,1.79E+07
2018,Agosto,Estados Unidos,Antioquia,Cavendish Valery,6869796.08,3314.3,9819521.89
2018,Agosto,Estados Unidos,Antioquia,Banano Bocadillo,594012,328.32,974288.95
2018,Agosto,Francia,Antioquia,Cavendish Valery,800599,299.09,887030.06
2018,Agosto,Grecia,Antioquia,Cavendish Valery,1297488,563.66,1669796.57
2018,Agosto,Italia,Antioquia,Cavendish Valery,1.40E+07,7002.5,2.07E+07
2018,Agosto,Malta,Antioquia,Cavendish Valery,41688,18.3,54034.42
2018,Agosto,Marruecos,Antioquia,Cavendish Valery,40176,8.32,24561.1
2018,Agosto,Noruega,Antioquia,Cavendish Valery,584652,267.42,803785.38
2018,Agosto,Paises Bajos,Antioquia,Cavendish Valery,3040580,1438.13,4278559.6
2018,Agosto,Portugal,Antioquia,Cavendish Valery,330042.24,154.68,466088.41
2018,Agosto,Reino Unido,Antioquia,Cavendish Valery,8610194,4589.48,1.36E+07
2018,Agosto,Reino Unido,Antioquia,Banano Bocadillo,4290,2.3,6787.82
2017,Noviembre,Aruba,Bogota,Otros Bananos y Platanos Frescos,20,0.02,72.93
2018,Agosto,Rusia- Federacion de,Antioquia,Cavendish Valery,356184,170.2,506049.84
2018,Agosto,Suecia,Antioquia,Cavendish Valery,264654,107.86,324356.59
2018,Agosto,Ucrania,Antioquia,Cavendish Valery,288241.56,110.54,328782.36
2018,Agosto,Aruba,Bogota,Banano Bocadillo,18,0.04,121.48
2018,Agosto,Estados Unidos,Tolima,Otros Bananos Secos,93.6,1.06,3078.79
2018,Agosto,Francia,Antioquia,Platanos Secos,6480,37.66,109159.47
2018,Agosto,Paises Bajos,Bogota,Banano Bocadillo,324,0.07,217.23
2018,Agosto,Suecia,Bogota,Platanos Secos,5004,34.66,104058.68
2018,Agosto,Aruba,Bogota,Otros Bananos y Platanos Frescos,20,0.02,72.66
2018,Agosto,Aruba,Cundinamarca,Otros Bananos y Platanos Frescos,10,0.01,35.77
2018,Agosto,Curazao,Magdalena,Cavendish Valery,307800,142.56,415294.1
